"","Source_ID","Study_name","SS"
"1941330","SC1_2013__Fernandez","Chilean plants","SC1_2013__Fernandez 2"
"1941851","SC1_2013__Poggio","Argentinian Plants","SC1_2013__Poggio 1"
"1985152","SC2_2009__Louhaichi","Herbaceous Cover","SC2_2009__Louhaichi 1"
"1985527","SC2_2011__LucasBorja","Vegetation Sampling","SC2_2011__LucasBorja 1"
"2017271","SC2_2012__Kati","Plant Sampling","SC2_2012__Kati 3"
"2051601","SE1_2012__Lopez","Plants_Lopez","SE1_2012__Lopez 2"
"2297064","SH1_2002__Sheil","CIFOR_Indonesia_trees","SH1_2002__Sheil 2"
"2440633","SH1_2005__OConnor","OConnor05_Plants","SH1_2005__OConnor 1"
"2518189","SH1_2010__Ramesh","trees_ghats","SH1_2010__Ramesh 1"
"2556492","SH1_2010__Ramesh","sm.trees_ghats","SH1_2010__Ramesh 2"
"2597583","SH1_2012__Farahat","Veg_Desert","SH1_2012__Farahat 1"
"2625446","SH1_2013__CIFORcameroon","CIFORcameroon_trees","SH1_2013__CIFORcameroon 2"
"2635315","SH1_2013__Norfolk","Norfolk2013_plants_Sinai","SH1_2013__Norfolk 1"
"2639852","SH1_2013__Peri","Peri - Santa Cruz","SH1_2013__Peri 1"
"2732350","SH1_2013__Peri","Lencinas - Tierra del Fuego","SH1_2013__Peri 2"
"3182193","TN1_2007__Bouyer","Vegetation_Bouyer_34","TN1_2007__Bouyer 1"
"3235759","VB1_2009__Boutin","OntarioPlants","VB1_2009__Boutin 4"
"3239187","VB1_2011__Farrell","Abergwyngregyn","VB1_2011__Farrell 1"
"3259929","VB1_2013__Albrecht","MunichGrassland","VB1_2013__Albrecht 1"
"3262757","VB1_2013__Burton","IOW_plants","VB1_2013__Burton 1"
"3417580","YP1_2011__Wang","floristic survey","YP1_2011__Wang 1"
